ID,color_name,color_type,HEX
1,White,Solid,FFFFFF
86,Light Bluish Gray,Solid,afb5c7
9,Light Gray,Solid,9c9c9c
10,Dark Gray,Solid,6b5a5a
85,Dark Bluish Gray,Solid,595D60
11,Black,Solid,212121
59,Dark Red,Solid,6a0e15
5,Red,Solid,b30006
88,Reddish Brown,Solid,89351d
8,Brown,Solid,532115
120,Dark Brown,Solid,330000
69,Dark Tan,Solid,907450
2,Tan,Solid,dec69c
90,Light Nougat,Solid,feccb0
28,Nougat,Solid,FFAF7D
150,Medium Nougat,Solid,E3A05B
68,Dark Orange,Solid,b35408
4,Orange,Solid,FF7E14
31,Medium Orange,Solid,FFA531
110,Bright Light Orange,Solid,F7BA30
3,Yellow,Solid,f7d117
103,Bright Light Yellow,Solid,F3E055
158,Yellowish Green,Solid,DFEEA5
34,Lime,Solid,A6CA55
155,Olive Green,Solid,7C9051
80,Dark Green,Solid,2E5543
6,Green,Solid,00642e
36,Bright Green,Solid,10cb31
37,Medium Green,Solid,62F58E
48,Sand Green,Solid,76a290
39,Dark Turquoise,Solid,008a80
152,Light Aqua,Solid,CCFFFF
63,Dark Blue,Solid,143044
7,Blue,Solid,0057a6
153,Dark Azure,Solid,3399FF
156,Medium Azure,Solid,42C0FB
42,Medium Blue,Solid,61afff
105,Bright Light Blue,Solid,9FC3E9
55,Sand Blue,Solid,5a7184
89,Dark Purple,Solid,5f2683
24,Purple,Solid,a5499c
157,Medium Lavender,Solid,885E9E
154,Lavender,Solid,B18CBF
71,Magenta,Solid,B52952
47,Dark Pink,Solid,C87080
104,Bright Pink,Solid,FFBBFF
23,Pink,Solid,FFC0CB
12,Trans-Clear,Transparent,EEEEEE
13,Trans-Black,Transparent,939484
17,Trans-Red,Transparent,9C0010
18,Trans-Neon Orange,Transparent,FF4231
98,Trans-Orange,Transparent,D04010
19,Trans-Yellow,Transparent,EBF72D
16,Trans-Neon Green,Transparent,C0F500
108,Trans-Bright Green,Transparent,10Cb31
20,Trans-Green,Transparent,217625
14,Trans-Dark Blue,Transparent,00296B
74,Trans-Medium Blue,Transparent,7384A5
15,Trans-Light Blue,Transparent,68BCC5
51,Trans-Purple,Transparent,8320B7
50,Trans-Dark Pink,Transparent,CE1d9b
22,Chrome Silver,Chrome,DCDCDC
66,Pearl Light Gray,Pearl,ACB7C0
95,Flat Silver,Pearl,8D949C
77,Pearl Dark Gray,Pearl,666660
115,Pearl Gold,Pearl,e79500
67,Metallic Silver,Metallic,C0C0C0
